Date,trapVisitID,subSiteName,catchRawID,commonName,n,forkLength,totalLength,mort,CatchRaw.comments
2020/03/14 00:00:00,9231,ST004L1,92075,Bluegill,1,120,NA,No,NA
2020/03/05 00:00:00,9213,ST004L1,91961,Bluegill,1,42,NA,Yes,NA
2017/06/07 00:00:00,8514,ST004L1B,81723,Bluegill,1,171,NA,No,NA
2017/02/03 00:00:00,8304,ST004L1,78017,Bluegill,1,46,NA,No,NA
2017/02/09 00:00:00,8313,ST004L1,78162,Bluegill,1,47,NA,Yes,NA
2020/03/16 00:00:00,9219,ST004L1B,91987,Bluegill,1,32,NA,No,NA
2020/03/13 00:00:00,9216,ST004L1B,91981,Bluegill,1,33,NA,No,NA
2020/03/13 00:00:00,9216,ST004L1B,91980,Bluegill,1,32,NA,No,NA
2017/03/26 00:00:00,8436,ST004L1,81433,Bluegill,1,40,NA,Yes,NA
2021/03/17 00:00:00,9473,ST004L1,94069,Bluegill,1,34,NA,No,NA
2017/02/09 00:00:00,8317,ST004L1B,78456,Bluegill,1,42,NA,Yes,NA
2020/02/19 00:00:00,9176,ST004L1,91760,Bluegill,1,45,NA,No,NA
2020/03/12 00:00:00,9229,ST004L1,92043,Bluegill,1,34,NA,No,NA
2021/03/11 00:00:00,9459,ST004L1B,93984,Bluegill,1,35,NA,No,NA
2017/02/04 00:00:00,8305,ST004L1,78021,Bluegill,1,45,NA,No,NA
2020/02/12 00:00:00,9159,ST004L1,91700,Bluegill,1,42,NA,No,NA
2017/02/25 00:00:00,8362,ST004L1,80342,Bluegill,1,22,NA,No,NA
2020/01/23 00:00:00,9126,ST004L1,91237,Bluegill,1,21,NA,No,NA
2020/02/15 00:00:00,9172,ST004L1,91750,Bluegill,1,35,NA,Yes,NA
2019/06/19 00:00:00,9089,ST004L1,91153,Bluegill,1,36,NA,No,NA
2020/01/29 00:00:00,9145,ST004L1,91450,Bluegill,1,87,NA,No,NA
2019/06/19 00:00:00,9089,ST004L1,91154,Bluegill,1,43,NA,No,NA
